
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:895            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1801           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2103           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2105           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2107           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2841           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8092           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49166          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49170          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49171          0.0.0.0:0              LISTENING
  TCP    10.254.248.12:53976    40.77.226.17:443       ESTABLISHED
  TCP    10.254.248.12:53986    157.56.100.114:443     ESTABLISHED
  TCP    10.254.248.12:53993    173.194.65.188:5228    ESTABLISHED
  TCP    10.254.248.12:53995    52.70.20.16:443        CLOSE_WAIT
  TCP    10.254.248.12:54020    10.250.250.1:777       ESTABLISHED
  TCP    10.254.248.12:54025    74.115.0.211:80        ESTABLISHED
  TCP    10.254.248.12:54027    74.115.1.135:80        ESTABLISHED
  TCP    10.254.248.12:54035    74.115.0.211:80        ESTABLISHED
  TCP    10.254.248.12:54058    74.115.0.221:80        ESTABLISHED
  TCP    10.254.248.12:54071    95.142.107.21:443      ESTABLISHED
  TCP    10.254.248.12:54076    162.125.17.3:443       ESTABLISHED
  TCP    10.254.248.12:54079    95.142.107.18:443      ESTABLISHED
  TCP    10.254.248.12:54088    216.58.212.141:443     ESTABLISHED
  TCP    10.254.248.12:54104    216.58.197.131:443     ESTABLISHED
  TCP    10.254.248.12:54109    95.142.107.23:443      ESTABLISHED
  TCP    10.254.248.12:54136    74.125.136.189:443     ESTABLISHED
  TCP    10.254.248.12:54140    77.234.45.70:443       ESTABLISHED
  TCP    10.254.248.12:54147    95.142.107.23:443      ESTABLISHED
  TCP    10.254.248.12:54158    95.142.107.22:443      ESTABLISHED
  TCP    10.254.248.12:54159    95.142.107.14:443      ESTABLISHED
  TCP    10.254.248.12:54163    216.58.212.234:443     FIN_WAIT_2
  TCP    10.254.248.12:54164    95.142.107.15:443      ESTABLISHED
  TCP    10.254.248.12:54165    216.58.212.197:443     ESTABLISHED
  TCP    10.254.248.12:54174    95.142.107.19:443      ESTABLISHED
  TCP    10.254.248.12:54182    74.125.136.99:443      ESTABLISHED
  TCP    10.254.248.12:54190    216.58.212.194:443     ESTABLISHED
  TCP    10.254.248.12:54198    66.220.158.19:443      ESTABLISHED
  TCP    10.254.248.12:54203    66.220.158.68:443      ESTABLISHED
  TCP    10.254.248.12:54214    95.142.107.17:443      ESTABLISHED
  TCP    10.254.248.12:54219    216.58.212.161:443     ESTABLISHED
  TCP    10.254.248.12:54229    216.58.212.129:443     ESTABLISHED
  TCP    10.254.248.12:54238    77.234.45.61:80        ESTABLISHED
  TCP    10.254.248.12:54271    77.234.45.70:443       TIME_WAIT
  TCP    10.254.248.12:54272    95.142.107.19:443      ESTABLISHED
  TCP    10.254.248.12:54275    5.45.58.149:80         TIME_WAIT
  TCP    10.254.248.12:54280    95.142.107.20:443      ESTABLISHED
  TCP    10.254.248.12:54282    93.157.100.83:80       TIME_WAIT
  TCP    10.254.248.12:54286    93.157.100.83:80       ESTABLISHED
  TCP    10.254.248.12:54289    173.194.65.95:80       ESTABLISHED
  TCP    10.254.248.12:54290    93.157.100.83:80       ESTABLISHED
  TCP    10.254.248.12:54291    93.157.100.83:80       ESTABLISHED
  TCP    10.254.248.12:54294    93.157.100.83:80       ESTABLISHED
  TCP    10.254.248.12:54295    93.157.100.83:80       ESTABLISHED
  TCP    10.254.248.12:54296    93.157.100.83:80       ESTABLISHED
  TCP    10.254.248.12:54297    173.194.65.95:80       TIME_WAIT
  TCP    10.254.248.12:54298    173.194.65.95:80       TIME_WAIT
  TCP    10.254.248.12:54299    68.232.35.121:80       ESTABLISHED
  TCP    10.254.248.12:54300    68.232.35.121:80       TIME_WAIT
  TCP    10.254.248.12:54301    68.232.35.121:80       TIME_WAIT
  TCP    10.254.248.12:54302    23.111.9.213:80        ESTABLISHED
  TCP    10.254.248.12:54303    23.111.9.213:80        TIME_WAIT
  TCP    10.254.248.12:54304    23.111.9.213:80        TIME_WAIT
  TCP    10.254.248.12:54305    68.232.35.121:80       ESTABLISHED
  TCP    10.254.248.12:54306    77.234.45.70:443       ESTABLISHED
  TCP    10.254.248.12:54309    68.232.35.121:80       ESTABLISHED
  TCP    10.254.248.12:54310    68.232.35.121:80       ESTABLISHED
  TCP    10.254.248.12:54311    31.13.71.7:443         ESTABLISHED
  TCP    10.254.248.12:54314    5.45.58.149:80         TIME_WAIT
  TCP    10.254.248.12:54317    95.142.107.17:80       ESTABLISHED
  TCP    10.254.248.12:54318    95.142.107.17:80       ESTABLISHED
  TCP    10.254.248.12:54319    95.142.107.17:80       ESTABLISHED
  TCP    10.254.248.12:54320    95.142.107.17:80       ESTABLISHED
